algorithm,graph_id,graph_hash,m,n,sample_id,seed,delete_probability,deleted_edge_count,num_edges,r,L,x_star_index,mis_size,x_star_left_count,x_star_right_count,gamma,Omega,p_gate,q_gate,absf2,absg2,success_probability,ideal_NH_circuit,fk_method,fk_num_steps,fk_norm_error,runtime_prepare,runtime_solver,runtime_total,cache_hit_prefix,cache_hit_clock,status,error_message
HMIS-HDQAA,cklr_m3_s00_543e14c1fb9c4fc0,543e14c1fb9c4fc0,3,9,0,5795842101901549749,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.3869714469183236,6.727292202413082e-05,0.4745389991439879,False,False,success,
NHMIS-FKQAA,cklr_m3_s00_543e14c1fb9c4fc0,543e14c1fb9c4fc0,3,9,0,5795842101901549749,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1471024328481708,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.3869714469183236,0.0023559499531984,0.4738835601601749,False,True,success,
NHMIS-HDQAA,cklr_m3_s00_543e14c1fb9c4fc0,543e14c1fb9c4fc0,3,9,0,5795842101901549749,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028767289924,0.9999504109302378,expm,,,0.3869714469183236,0.0005701300688087,0.4744683350436389,False,False,success,
HMIS-HDQAA,cklr_m3_s01_e2dbd8959f6b89bd,e2dbd8959f6b89bd,3,9,1,2001898137051181627,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.3869700550567359,6.721680983901024e-05,0.4742620789911598,False,False,success,
NHMIS-FKQAA,cklr_m3_s01_e2dbd8959f6b89bd,e2dbd8959f6b89bd,3,9,1,2001898137051181627,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.147102464197786,0.9999504109302378,expm,2304.0,1.454392162258955e-14,0.3869700550567359,0.002353950869292,0.4736066819168627,False,True,success,
NHMIS-HDQAA,cklr_m3_s01_e2dbd8959f6b89bd,e2dbd8959f6b89bd,3,9,1,2001898137051181627,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9996028768859316,0.9999504109302378,expm,,,0.3869700550567359,0.0005701091140508,0.4741913459729403,False,False,success,
HMIS-HDQAA,cklr_m3_s02_26f1184d953be106,26f1184d953be106,3,9,2,5266796739436798575,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.16384955191972653,0.9999465965529861,expm,,,0.1498412371147424,2.6867957785725594e-05,0.1616388401016593,False,False,success,
NHMIS-FKQAA,cklr_m3_s02_26f1184d953be106,26f1184d953be106,3,9,2,5266796739436798575,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.04503817623101783,0.9999465965529861,expm,2232.0,5.573319583618286e-14,0.1498412371147424,0.0003593810833990574,0.16131132515147328,False,True,success,
NHMIS-HDQAA,cklr_m3_s02_26f1184d953be106,26f1184d953be106,3,9,2,5266796739436798575,0.03,2,22,9,279,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.9995990640202885,0.9999465965529861,expm,,,0.1498412371147424,0.00029594311490654945,0.1616103150881827,False,False,success,
HMIS-HDQAA,cklr_m3_s03_f9eb02ae39174d9a,f9eb02ae39174d9a,3,9,3,8872411207113517221,0.03,1,23,9,288,7,3,3,0,10.0,1.0,2.0,4.0,0.9999450780724328,5.492192580908934e-05,0.1324564892051954,0.9999504109302378,expm,,,0.1588702509179711,4.840502515435219e-05,0.2120415181852877,False,False,success,
