algorithm,m,n,gamma,n_samples,median_L,min_L,max_L,median_deleted_edge_count,min_deleted_edge_count,max_deleted_edge_count,median_success,min_success,max_success
HMIS-HDQAA,3,9,10.0,200,279.0,243,288,2.0,1,6,0.16384955191972653,0.1061021144488062,0.8663082585375196
HMIS-HDQAA,4,13,10.0,200,715.0,663,741,3.0,1,7,0.1389400174766004,0.0101298699516867,0.722387056812555
HMIS-HDQAA,5,17,10.0,200,1445.0,1326,1496,4.0,1,11,0.8767946130684846,0.6953632028656619,0.9232700219655252
HMIS-HDQAA,6,21,10.0,200,2520.0,2268,2625,6.0,1,18,0.09650453826837446,6.590193682152273e-05,0.18774091635108395
HMIS-HDQAA,7,25,10.0,200,4000.0,3650,4200,9.0,1,23,0.7742639914824444,0.7419998043739069,0.7825209938742451
HMIS-HDQAA,8,29,10.0,200,6003.0,5481,6293,11.0,1,29,0.17643373503654675,0.1536730273698635,0.1891120013986288
HMIS-HDQAA,9,33,10.0,200,8514.0,7821,8943,15.0,2,36,0.020912783679873228,0.018364050478910106,0.022509693390880874
HMIS-HDQAA,10,37,10.0,200,11673.5,10952,12210,18.5,4,38,0.0020862570820205,0.0019108815030803,0.0022158702298833758
HMIS-HDQAA,11,41,10.0,200,15539.0,14432,16236,22.0,5,49,0.0001870637985169628,0.00017147971260652494,0.00019654824304578692
HMIS-HDQAA,12,45,10.0,200,20092.5,18990,21150,27.5,4,52,1.522395477072647e-05,1.4448062853681088e-05,1.591674696829892e-05
NHMIS-FKQAA,3,9,10.0,200,279.0,243,288,2.0,1,6,0.04503828821721865,0.0450381116809445,0.47985732379385276
NHMIS-FKQAA,4,13,10.0,200,715.0,663,741,3.0,1,7,0.10429328946838837,0.08668276752092123,0.24708735451594688
NHMIS-FKQAA,5,17,10.0,200,1445.0,1326,1496,4.0,1,11,0.0471444818200473,0.0341046091168982,0.1043474388605945
NHMIS-FKQAA,6,21,10.0,200,2520.0,2268,2625,6.0,1,18,0.05436215960138355,0.0264795311727697,0.08103566582444738
NHMIS-FKQAA,7,25,10.0,200,4000.0,3650,4200,9.0,1,23,0.04469353968236732,0.0221462859358195,0.06941741802010536
NHMIS-FKQAA,8,29,10.0,200,6003.0,5481,6293,11.0,1,29,0.0348485484105896,0.0210890379028988,0.05753471324002858
NHMIS-FKQAA,9,33,10.0,200,8514.0,7821,8943,15.0,2,36,0.0331021202823057,0.019786448435732108,0.0496697711915193
NHMIS-FKQAA,10,37,10.0,200,11673.5,10952,12210,18.5,4,38,0.034084539550876425,0.018928402277464628,0.044288996958911565
NHMIS-FKQAA,11,41,10.0,200,15539.0,14432,16236,22.0,5,49,0.02993940135599326,0.01722211041691358,0.040182718816875115
NHMIS-FKQAA,12,45,10.0,200,20092.5,18990,21150,27.5,4,52,0.02405713060105833,0.0165060068339667,0.03479802890867205
NHMIS-HDQAA,3,9,10.0,200,279.0,243,288,2.0,1,6,0.9995990639024426,0.9995876265894058,0.9998760015279557
NHMIS-HDQAA,4,13,10.0,200,715.0,663,741,3.0,1,7,0.9994871076375595,0.9994870331895139,0.9996999631103732
NHMIS-HDQAA,5,17,10.0,200,1445.0,1326,1496,4.0,1,11,0.999322848881901,0.9993228486174172,0.9993228489041686
NHMIS-HDQAA,6,21,10.0,200,2520.0,2268,2625,6.0,1,18,0.9991581977554145,0.9991581977363311,0.9991581978063032
NHMIS-HDQAA,7,25,10.0,200,4000.0,3650,4200,9.0,1,23,0.9989935772803078,0.9989935770431686,0.998993577413869
NHMIS-HDQAA,8,29,10.0,200,6003.0,5481,6293,11.0,1,29,0.9988289869411952,0.9988289865832738,0.9988289871410496
NHMIS-HDQAA,9,33,10.0,200,8514.0,7821,8943,15.0,2,36,0.9986644245504298,0.9986644240817574,0.9986644248483457
NHMIS-HDQAA,10,37,10.0,200,11673.5,10952,12210,18.5,4,38,0.9984998898316024,0.9984998893375796,0.998499890205752
NHMIS-HDQAA,11,41,10.0,200,15539.0,14432,16236,22.0,5,49,0.9983353824349368,0.9983353818029822,0.9983353828417122
NHMIS-HDQAA,12,45,10.0,200,20092.5,18990,21150,27.5,4,52,0.998170902468432,0.9981709017566924,0.9981709031075451
