m,n,L,gamma,p_FK,p_NHHD,p_HHD,p_Grover,ideal_NH_circuit,computed_FK,computed_NHHD,computed_HHD,fk_norm_error,runtime_FK,runtime_NHHD,runtime_HMIS,runtime_prepare_instance,note
3,9,297,10.0,0.1303781050226844,0.9996066892299548,0.8350242739825224,0.8487571096986534,0.9999542253353406,True,True,True,2.422506639732092e-13,5.847874099999899,0.0116454000017256,0.0140268999966792,0.1065939000036451,
4,13,754,10.0,0.0940195249432046,0.9994871076366504,0.6480168694236115,0.6754161366736264,0.9999995380643372,True,True,True,1.4030998585212728e-12,17.813930500000424,0.0085220000037224,0.0109744000001228,0.4296848000012687,
5,17,1513,10.0,0.0797367528406079,0.9993228489836956,0.7032832867473119,0.764222469633732,0.9999999949941412,True,True,True,8.237854842718664e-14,53.2587835000013,0.0135007999997469,0.0135219000003417,0.9573936000015236,
6,21,2646,10.0,0.0837980398928885,0.999158198041664,0.2085954602853668,0.2412235726415992,0.9999999999436112,True,True,True,2.27018404075352e-12,111.0401716999986,0.0136621999990893,0.0141799999983049,2.130040000003646,
7,25,4225,10.0,0.0360946319106326,0.9989935773829772,0.783023353366864,0.9875370720939868,1.0,True,True,True,4.418687638008123e-13,218.44705119999708,0.0157562000022153,0.0124655999970855,4.079725800002052,
8,29,6322,10.0,0.0357157735024002,0.9988289857983906,0.1903785075101087,0.2694115662927651,1.0,True,True,True,1.2843281993468736e-11,410.3424497000015,0.0152100999985123,0.0135556000022916,7.495359499996994,
9,33,9009,10.0,0.041394456001421685,0.9986644218401224,0.0227562955460652,0.0373243925177629,1.0,True,True,True,1.3342660309945131e-12,749.3178601000036,0.0155268999951658,0.0142513000027975,15.463163100001111,
10,37,12358,10.0,0.03720044563079098,0.9984998851165896,0.0022514556175056,0.0044385190262237,1.0,True,True,True,3.8585801220847316e-12,1128.603781800004,0.0146977999975206,0.0137351000012131,32.59188559999893,
11,41,16441,10.0,0.036543122419538894,0.9983353755270193,0.000199285448349,0.0004916339419987,1.0,True,True,True,2.3648194513725684e-11,2282.1597626000002,0.011301099999400321,0.0150385000015376,183.46588899999915,
12,45,21330,10.0,0.022643520805904566,0.998170893048776,1.6029554428902245e-05,5.172550860400215e-05,0.999999999992724,True,True,True,7.605027718682322e-13,3275.2465073999992,0.011718300003849436,0.0152183000027434,481.78463439999905,
