graph_id,graph_hash,m,n,sample_id,seed,delete_probability,probability_bucket_index,attempt_index,deleted_cross_edges,deleted_edge_count,num_edges,L,x_star_bits,x_star_index,mis_size,x_star_left_count,x_star_right_count
cklr_m3_s00_543e14c1fb9c4fc0,543e14c1fb9c4fc0,3,9,0,5795842101901549749,0.03,0,1,"[[0,1,0]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s01_e2dbd8959f6b89bd,e2dbd8959f6b89bd,3,9,1,2001898137051181627,0.03,0,3,"[[0,1,1]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s02_26f1184d953be106,26f1184d953be106,3,9,2,5266796739436798575,0.03,0,34,"[[0,1,0],[2,0,1]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s03_f9eb02ae39174d9a,f9eb02ae39174d9a,3,9,3,8872411207113517221,0.03,0,11,"[[1,1,1]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s05_076797d9321de9d9,076797d9321de9d9,3,9,5,4220269119644436256,0.03,0,14,"[[1,0,0]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s06_353050acb13ed028,353050acb13ed028,3,9,6,6703737885001815866,0.03,0,17,"[[2,0,0]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s07_abc5b9ecea799bd8,abc5b9ecea799bd8,3,9,7,8531886351036377610,0.03,0,29,"[[1,0,2]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s08_be0995712f602aae,be0995712f602aae,3,9,8,697842740858969045,0.03,0,30,"[[2,1,1]]",1,23,288,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s09_72d015b8de33b041,72d015b8de33b041,3,9,9,6615417545838800994,0.03,0,21,"[[1,0,0],[2,1,0]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
cklr_m3_s10_f9561adc5b4db14e,f9561adc5b4db14e,3,9,10,8991676999248212059,0.03,0,35,"[[1,0,2],[2,1,2]]",2,22,279,"[1,1,1,0,0,0,0,0,0]",7,3,3,0
