contour_key,algorithm,r,L,E0,E1,E0_hp,E1_hp,center_type,center_value,center_value_hp,epsilon_vis,E0_E1_connected_at_epsilon_vis,contour_status,contour_source,contour_coordinate_frame,contour_touches_boundary,grid_N,cache_kind,local_contour_method,center_grid_index,center_offset_is_exact_zero,force_seed,local_hx,local_hy,local_x_min,local_x_max,local_y_min,local_y_max,cache_path,physical_points_total,component_physical_points,seed_was_physical,n_samples_total,n_contour_vertices,contour_closed,contour_contains_seed,final_failed,final_failed_reason,seed0_was_physical,seed1_was_physical,source_cache_path
contour_0,NHMIS-FKQAA-full-direct-sum,1,14,0.0,0.021852399266194363,0,0.021852399266194362071433252130400467540262191137322892114822336359,E0,0.0,0.0,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,3.0000415422738885e-27,3.0000415422738885e-27,-3.0000415422738885e-27,3.0000415422738885e-27,-3.0000415422738885e-27,3.0000415422738885e-27,data/figure6/grids/loggrid_236782a0e559ee02f826.npz,5025.0,5025.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_236782a0e559ee02f826.npz
contour_1,NHMIS-FKQAA-full-direct-sum,1,14,0.0,0.021852399266194363,0,0.021852399266194362071433252130400467540262191137322892114822336359,E1,0.0218523992661943,0.0218523992661943,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,5.1959766658746166e-27,5.1959766658746166e-27,-5.1959766658746166e-27,5.1959766658746166e-27,-5.1959766658746166e-27,5.1959766658746166e-27,data/figure6/grids/loggrid_3cf9262926cf8033e193.npz,5025.0,5025.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_3cf9262926cf8033e193.npz
contour_2,NHMIS-FKQAA-full-direct-sum,2,28,0.0,0.005862042845640391,0,0.0058620428456403910446972841204484331454403815186060617354796971580,E0,0.0,0.0,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,1.6271232208099489e-21,1.6271232208099489e-21,-1.6271232208099489e-21,1.6271232208099489e-21,-1.6271232208099489e-21,1.6271232208099489e-21,data/figure6/grids/loggrid_0afc13200d0c4097774d.npz,5025.0,5025.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_0afc13200d0c4097774d.npz
contour_3,NHMIS-FKQAA-full-direct-sum,2,28,0.0,0.005862042845640391,0,0.0058620428456403910446972841204484331454403815186060617354796971580,E1,0.0058620428456403,0.0058620428456403,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,3.1264754790110445e-21,3.1264754790110445e-21,-3.1264754790110445e-21,3.1264754790110445e-21,-3.1264754790110445e-21,3.1264754790110445e-21,data/figure6/grids/loggrid_c581f01176a4989531ba.npz,5025.0,5025.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_c581f01176a4989531ba.npz
contour_4,NHMIS-FKQAA-full-direct-sum,3,42,0.0,0.002667716336448327,0,0.0026677163364483271941393884104764073537552691756176174664621076728,E0,0.0,0.0,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,1.150667637049665e-15,1.150667637049665e-15,-1.150667637049665e-15,1.150667637049665e-15,-1.150667637049665e-15,1.150667637049665e-15,data/figure6/grids/loggrid_21035b43818857e333ac.npz,5020.0,5020.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_21035b43818857e333ac.npz
contour_5,NHMIS-FKQAA-full-direct-sum,3,42,0.0,0.002667716336448327,0,0.0026677163364483271941393884104764073537552691756176174664621076728,E1,0.0026677163364483,0.0026677163364483,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,2.259508856116174e-15,2.259508856116174e-15,-2.259508856116174e-15,2.259508856116174e-15,-2.259508856116174e-15,2.259508856116174e-15,data/figure6/grids/loggrid_1cfb8c1620a9c6a1dcd5.npz,5020.0,5020.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_1cfb8c1620a9c6a1dcd5.npz
contour_6,NHMIS-FKQAA-full-direct-sum,4,56,0.0,0.0015184835666837745,0,0.0015184835666837745244740432839503659499036430634264476544779922568,E0,0.0,0.0,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,9.102137917901552e-10,9.102137917901552e-10,-9.102137917901552e-10,9.102137917901552e-10,-9.102137917901552e-10,9.102137917901552e-10,data/figure6/grids/loggrid_0487a5f76a59dc129a65.npz,5020.0,5020.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_0487a5f76a59dc129a65.npz
contour_7,NHMIS-FKQAA-full-direct-sum,4,56,0.0,0.0015184835666837745,0,0.0015184835666837745244740432839503659499036430634264476544779922568,E1,0.0015184835666837,0.0015184835666837,1e-32,False,ok,refined_local_shifted_grid_cache,local_centered,False,161,refined_local_shifted_grid,grid,80.0,True,False,1.8014798636841382e-09,1.8014798636841382e-09,-1.8014798636841382e-09,1.8014798636841382e-09,-1.8014798636841382e-09,1.8014798636841382e-09,data/figure6/grids/loggrid_3deeed9c8e2af2a02dbe.npz,5018.0,5018.0,True,-1.0,-1.0,False,False,False,,,,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_3deeed9c8e2af2a02dbe.npz
contour_8,NHMIS-FKQAA-full-direct-sum,5,70,0.0,0.0009787734800263935,0,0.00097877348002639355115723776719319052500270830900084855772176420491,connected_E0_E1,,,1e-32,True,ok,refined_pair_grid_cache,,False,241,,,,,,,,,,,,data/figure6/grids/loggrid_2f755960b359bb8813aa.npz,12970.0,12970.0,,,,,,False,,True,True,outputs/experiment_two_resolvent_paper_final_R2/cache/loggrid_2f755960b359bb8813aa.npz
contour_9,NHMIS-HDQAA,independent_of_r,1,0.0,1.0,,,E0,0.0,0.0,1e-32,False,ok,refined_hd_mp_radial_local,local_scaled_by_epsilon,False,0,,,,,,,,,,,,,,,,,,,,False,,,,
contour_10,NHMIS-HDQAA,independent_of_r,1,0.0,1.0,,,E1,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000000,1e-32,False,ok,refined_hd_mp_radial_local,local_scaled_by_epsilon,False,0,,,,,,,,,,,,,,,,,,,,False,,,,
contour_11,HMIS-HDQAA,independent_of_r,1,0.0,1.0,,,E0,0.0,0.0,1e-32,False,ok,refined_hd_mp_radial_local,local_scaled_by_epsilon,False,0,,,,,,,,,,,,,,,,,,,,False,,,,
contour_12,HMIS-HDQAA,independent_of_r,1,0.0,1.0,,,E1,1.0,1.0000000000000000000000000000000000000000000000000000000000000000000000000000000,1e-32,False,ok,refined_hd_mp_radial_local,local_scaled_by_epsilon,False,0,,,,,,,,,,,,,,,,,,,,False,,,,
