n,m,r,L,sector_used,sector_selection_rule,log10_epsilon_threshold_theory,minus_log10_epsilon_threshold_theory,epsilon_threshold_theory,k_star_est,log10_chi_0,log10_chi_kstar,runtime_seconds
5,2,5,70,11000,mis_max_gain_sector,-32.06781652842742,32.06781652842742,8.5542801974776e-33,1,28.583329836329387,28.88142797721576,0.00227719999384135
9,3,9,297,111000000,mis_max_gain_sector,-140.87708143740244,140.87708143740244,1.3271455726378076e-141,1,136.1450934063644,136.44567328770594,0.008891800011042506
13,4,13,754,1111000000000,mis_max_gain_sector,-371.04147537199873,371.04147537199873,0.0,1,365.5018204401672,365.8027137740873,0.08427490000030957
17,5,17,1513,11111000000000000,mis_max_gain_sector,-766.0493986285911,766.0493986285911,0.0,1,759.9053326305814,760.2063065053255,0.34034120000433177
21,6,21,2646,111111000000000000000,mis_max_gain_sector,-1369.299198448434,1369.299198448434,0.0,1,1362.6698572993603,1362.9708598605068,1.0852007000066806
25,7,25,4225,1111111000000000000000000,mis_max_gain_sector,-2224.1631565590965,2224.1631565590965,0.0,1,2217.1274560775696,2217.4284710298775,2.554684200003976
29,8,29,6322,11111111000000000000000000000,mis_max_gain_sector,-3374.003031286076,3374.003031286076,0.0,1,3366.617339377317,3366.9183604196737,5.613224200002151
33,9,33,9009,111111111000000000000000000000000,mis_max_gain_sector,-4862.175473073891,4862.175473073891,0.0,1,4854.482175761212,4854.783200089095,10.592718300002161
37,10,37,12358,1111111111000000000000000000000000000,mis_max_gain_sector,-6732.034338624453,6732.034338624453,0.0,1,6724.066522962893,6724.36754919329,19.39800639997702
41,11,41,16441,11111111111000000000000000000000000000000,mis_max_gain_sector,-9026.931822124912,9026.931822124912,0.0,1,9018.716063063734,9019.017090458965,30.473215400008485
45,12,45,21330,111111111111000000000000000000000000000000000,mis_max_gain_sector,-11790.21906407864,11790.21906407864,0.0,1,11781.777191378062,11782.078219519419,54.37535519999801
